Code,Crop,Total Count,106
36,Alfalfa,,
75,Almonds,,
68,Apples,,
223,Apricots,,
207,Asparagus,,
215,Avocados,,
21,Barley,,
242,Blueberries,,
214,Broccoli,,
39,Buckwheat,,
243,Cabbage,,
38,Camelina,,
55,Caneberries,,
31,Canola,,
209,Cantaloupes,,
206,Carrots,,
244,Cauliflower,,
245,Celery,,
66,Cherries,,
51,Chick Peas,,
70,Christmas Trees,,
72,Citrus,,
58,Clover/Wildflowers,,
1,Corn,,
2,Cotton,,
250,Cranberries,,
50,Cucumbers,,
237,Dbl Crop Barley/Corn,,
254,Dbl Crop Barley/Soybeans,,
241,Dbl Crop Corn/Soybeans,,
233,Dbl Crop Lettuce/Barley,,
231,Dbl Crop Lettuce/Cantaloupe,,
232,Dbl Crop Lettuce/Cotton,,
230,Dbl Crop Lettuce/Durum Wht,,
226,Dbl Crop Oats/Corn,,
240,Dbl Crop Soybeans/Oats,,
228,Dbl Crop Triticale/Corn,,
225,Dbl Crop WinWht/Corn,,
238,Dbl Crop WinWht/Cotton,,
236,Dbl Crop WinWht/Sorghum,,
26,Dbl Crop WinWht/Soybeans,,
42,Dry Beans,,
22,Durum Wheat,,
248,Eggplants,,
32,Flaxseed,,
208,Garlic,,
249,Gourds,,
69,Grapes,,
219,Greens,,
57,Herbs,,
213,Honeydew Melons,,
56,Hops,,
52,Lentils,,
227,Lettuce,,
29,Millet,,
14,Mint,,
47,Misc Vegs & Fruits,,
35,Mustard,,
218,Nectarines,,
28,Oats,,
211,Olives,,
49,Onions,,
212,Oranges,,
44,Other Crops,,
37,Other Hay/Non Alfalfa,,
25,Other Small Grains,,
71,Other Tree Crops,,
67,Peaches,,
10,Peanuts,,
77,Pears,,
53,Peas,,
74,Pecans,,
216,Peppers,,
204,Pistachios,,
220,Plums,,
217,Pomegranates,,
13,Pop or Orn Corn,,
43,Potatoes,,
210,Prunes,,
229,Pumpkins,,
246,Radishes,,
34,Rape Seed,,
3,Rice,,
27,Rye,,
33,Safflower,,
59,Sod/Grass Seed,,
4,Sorghum,,
5,Soybeans,,
30,Speltz,,
23,Spring Wheat,,
222,Squash,,
221,Strawberries,,
41,Sugarbeets,,
45,Sugarcane,,
6,Sunflower,,
12,Sweet Corn,,
46,Sweet Potatoes,,
60,Switchgrass,,
11,Tobacco,,
54,Tomatoes,,
205,Triticale,,
247,Turnips,,
224,Vetch,,
76,Walnuts,,
48,Watermelons,,
24,Winter Wheat,,